"Observation"	"Value"
1	12.5
2	11
3	10
4	10.5
5	13.5
6	16
7	14
8	10.5
9	11
10	8
11	7.5
12	10.5
13	12.5
14	16
15	15.5
16	14
17	13
18	14.5
19	14
20	11
21	15.5
22	16
23	10.5
24	11
25	13
26	17
27	19.5
28	21.5
29	15
30	11
31	15.5
32	11
33	12.5
34	14
35	18.5
36	21
37	21.5
38	14.5
39	16.5
40	16
41	19.5
42	20
43	13
44	15
45	11.5
46	14.5
47	18
48	16.5
49	14.5
50	18.5
51	17
52	10.5
53	13
54	16
55	15
56	16
57	18
58	11.5
59	12.5
60	14
61	17
62	16
63	16
64	17
65	21.5
66	13
67	13
68	13.5
69	16
70	17.5
71	18.5
72	21.5
73	27
74	18
75	22
76	16
77	14.5
78	17.5
79	20
80	19.5
81	20
82	18
83	24
84	25
85	29
86	19
87	22
88	14.5
89	16.5
90	22.5
91	28.5
92	19.5
93	22
94	16
95	13
96	12.5
97	15
98	18.5
99	19.5
100	18.5
101	17
102	16.5
103	19.5
104	15.5
105	21
106	17
107	18
108	20.5
109	19.5
110	16.5
111	17.5
112	23
113	33.5
114	19.5
115	23
116	20
117	13
118	15
119	21
120	15
121	20
122	17
123	16.5
124	17.5
125	19
126	19.5
127	15.5
128	18.5
129	22
130	22.5
131	20.5
132	20
133	23.5
134	19
135	16.5
136	21
137	21.5
138	23
139	21
140	19.5
141	28.5
142	39
143	15.5
144	19.5
145	22.5
146	19
147	21
148	22
149	34
150	36.5
151	22
152	25.5
153	21.5
154	20
155	22
156	20
157	14.5
158	20
159	24
160	18
161	23
162	22
163	18
164	23.5
165	25
166	23
167	20
168	19
169	24
170	19
171	18
172	27.5
173	26
174	21.5
175	21.5
176	17.5
177	23
178	23.5
179	24.5
180	20.5
181	20
182	21
183	23.5
184	18.5
185	15.5
186	14.5
187	16.5
188	24
189	20
190	21
191	21.5
192	18.5
193	18.5
194	26.5
195	35
196	16.5
197	16.5
198	20
199	14.5
200	22.5
201	22.5
202	18.5
203	16.5
204	23
205	34.5
206	24
207	19.5
208	19.5
209	15.5
210	16.5
211	20.5
212	19.5
213	20.5
214	20.5
215	21.5
216	19
217	19.5
218	16
219	13.5
220	15.5
221	13.5
222	14.5
223	17.5
224	18
225	19.5
226	22.5
227	25
228	22.5
229	19.5
230	13
231	18
232	20
233	20
234	17.5
235	19.5
236	13.5
237	16.5
238	22
239	17
240	18
241	21
242	21
243	16.5
244	14
245	17.5
246	17
247	14.5
248	19
249	18.5
250	12.5
251	12
252	11.5
253	14
254	14
255	14.5
256	15
257	17.5
258	15
259	16.5
260	17
261	11.5
262	15
263	18
264	17.5
265	16
266	16.5
267	11.5
268	14.5
269	15
270	16.5
271	15.5
272	16.5
273	14.5
274	14.5
275	16
276	13
277	12.5
278	13
279	14.5
280	15.5
281	13.5
282	15.5
283	15
284	15.5
285	15.5
286	14
287	14
288	14
289	15.5
290	16
291	15
292	15.5
293	18
294	15.5
295	14
296	15.5
297	15.5
298	16
299	13.5
300	12.5
301	12.5
302	11.5
303	12.5
304	12.5
305	11.5
306	15
307	10.5
308	13
309	14.5
310	16.5
311	9.5
312	14.5
313	13
314	12.5
315	17
316	10.5
317	12
318	13
319	13.5
320	12.5
321	14
322	13
323	13
324	14.5
325	14.5
326	12
327	14.5
328	12
329	13
330	13
331	13.5
332	13.5
333	13.5
334	14.5
335	12
336	11
337	9.5
338	10.5
339	14
340	12
341	9
342	6.5
343	9
344	7
