"Observation"	"Value"
1	0
2	2.11926316789773e-08
3	4.04339892452061e-08
4	4.04339892452061e-08
5	4.04339892452061e-08
6	4.04339892452061e-08
7	4.04339892452061e-08
8	4.04339892452061e-08
9	4.04339892452061e-08
10	4.04339892452061e-08
11	4.04339892452061e-08
12	4.04339892452061e-08
13	4.04339892452061e-08
14	4.04339892452061e-08
15	4.04339892452061e-08
16	4.04339892452061e-08
17	4.04339892452061e-08
18	4.04339892452061e-08
19	4.04339892452061e-08
20	4.04339892452061e-08
21	4.04339892452061e-08
22	4.04339892452061e-08
23	4.04339892452061e-08
24	4.04339892452061e-08
25	4.04339892452061e-08
26	4.04339892452061e-08
27	4.04339892452061e-08
28	4.04339892452061e-08
29	4.04339892452061e-08
30	4.04339892452061e-08
31	4.04339892452061e-08
32	4.04339892452061e-08
33	4.04339892452061e-08
34	4.04339892452061e-08
35	4.04339892452061e-08
36	4.04339892452061e-08
37	4.04339892452061e-08
38	4.04339892452061e-08
39	4.04339892452061e-08
40	4.04339892452061e-08
41	4.04339892452061e-08
42	4.04339892452061e-08
43	4.04339892452061e-08
44	4.04339892452061e-08
45	4.04339892452061e-08
46	4.04339892452061e-08
47	4.04339892452061e-08
48	4.04339892452061e-08
49	4.04339892452061e-08
50	4.04339892452061e-08
51	4.04339892452061e-08
52	4.04339892452061e-08
53	4.04339892452061e-08
54	4.04339892452061e-08
55	4.04339892452061e-08
56	4.04339892452061e-08
57	4.04339892452061e-08
58	4.04339892452061e-08
59	4.04339892452061e-08
60	4.04339892452061e-08
61	4.04339892452061e-08
62	4.04339892452061e-08
63	4.04339892452061e-08
64	4.06147431870183e-08
65	4.06147431870183e-08
66	4.06147431870183e-08
67	4.5221227009308e-08
68	4.5221227009308e-08
69	4.79918204491507e-08
70	4.79918204491507e-08
71	4.79918204491507e-08
72	4.79918204491507e-08
73	4.79918204491507e-08
74	4.79918204491507e-08
75	5.2364754054623e-08
76	5.2364754054623e-08
77	5.2364754054623e-08
78	5.2364754054623e-08
79	5.65344880030711e-08
80	5.65344880030711e-08
81	5.65344880030711e-08
82	5.65344880030711e-08
83	5.65344880030711e-08
84	5.65344880030711e-08
85	5.65344880030711e-08
86	6.067464260265e-08
87	6.067464260265e-08
88	6.067464260265e-08
89	6.067464260265e-08
90	6.067464260265e-08
91	6.067464260265e-08
92	6.067464260265e-08
93	6.067464260265e-08
94	6.067464260265e-08
95	6.067464260265e-08
96	6.067464260265e-08
97	6.067464260265e-08
98	6.067464260265e-08
99	6.067464260265e-08
100	6.067464260265e-08
101	6.067464260265e-08
102	6.067464260265e-08
103	6.067464260265e-08
104	6.067464260265e-08
105	6.067464260265e-08
106	6.067464260265e-08
107	6.48951643351579e-08
108	6.48951643351579e-08
109	6.48951643351579e-08
110	6.48951643351579e-08
111	6.79796872549432e-08
112	6.79796872549432e-08
113	6.79796872549432e-08
114	6.79796872549432e-08
115	6.79796872549432e-08
116	7.17831774215761e-08
117	7.17831774215761e-08
118	7.17831774215761e-08
119	7.17831774215761e-08
120	7.17831774215761e-08
121	7.17831774215761e-08
122	7.17831774215761e-08
123	7.17831774215761e-08
124	7.17831774215761e-08
125	7.17831774215761e-08
126	7.17831774215761e-08
127	7.17831774215761e-08
128	7.17831774215761e-08
129	7.17831774215761e-08
130	7.17831774215761e-08
131	7.17831774215761e-08
132	7.17831774215761e-08
133	7.17831774215761e-08
134	7.17831774215761e-08
135	7.17831774215761e-08
136	7.17831774215761e-08
137	8.31406349202958e-08
138	8.31406349202958e-08
139	8.31406349202958e-08
140	8.93335082392156e-08
141	8.93335082392156e-08
142	9.00555360693666e-08
143	9.00555360693666e-08
144	9.00555360693666e-08
145	9.00555360693666e-08
146	9.41001039135136e-08
147	9.41001039135136e-08
148	9.41001039135136e-08
149	9.41001039135136e-08
150	9.41001039135136e-08
151	9.41001039135136e-08
152	9.41001039135136e-08
153	9.76237787555655e-08
154	9.76237787555655e-08
155	9.76237787555655e-08
156	9.76237787555655e-08
157	9.76237787555655e-08
158	1.01333341038499e-07
159	1.01333341038499e-07
160	1.06467124493443e-07
161	1.06467124493443e-07
162	1.11576020289883e-07
163	1.11576020289883e-07
164	1.14091810869891e-07
165	1.14091810869891e-07
166	1.14091810869891e-07
167	1.14091810869891e-07
168	1.14091810869891e-07
169	1.14091810869891e-07
170	1.14091810869891e-07
